familia_carrera,categoria
Acuicultura,Ciencia
Ciencias de la Computación,Ingeniería
Ingeniería Civil,Ingeniería
Ingeniería Electrónica,Ingeniería
Ingeniería Eléctrica,Ingeniería
Ingeniería Industrial,Ingeniería
Ingeniería Mecánica,Ingeniería
"Ingeniería Minera, Metalurgia y Petróleo",Ingeniería
Ingeniería Naval y Aeronáutica,Ingeniería
Ingeniería Pesquera,Ingeniería
Ingeniería Sanitaria,Ingeniería
Ingeniería Textil Y Confecciones,Ingeniería
Ingeniería de Sistemas y Cómputo,Ingeniería
Ingeniería de Telecomunicaciones,Ingeniería
Ingeniería en Agroindustria,Ingeniería
Ingeniería en Industrias Alimentarias,Ingeniería
Operadores De Imagen Y Sonido,Ingeniería
Otras Ingenierías,Ingeniería
Antropología Y Arqueología,Ciencias Soc. y Hum.
Arquitectura y Urbanismo,Ciencias Soc. y Hum.
Bibliotecología Y Archivo,Ciencias Soc. y Hum.
Ciencias Políticas,Ciencias Soc. y Hum.
Ciencias de la Comunicación,Ciencias Soc. y Hum.
Contabilidad y Finanzas,Ciencias Soc. y Hum.
Derecho,Ciencias Soc. y Hum.
Educación Artística,Ciencias Soc. y Hum.
Educación Especial,Ciencias Soc. y Hum.
Educación Física,Ciencias Soc. y Hum.
Educación Inicial ,Ciencias Soc. y Hum.
Educación Primaria,Ciencias Soc. y Hum.
Educación Secundaria,Ciencias Soc. y Hum.
Educación Tecnológica,Ciencias Soc. y Hum.
Geografía,Ciencias Soc. y Hum.
Historia,Ciencias Soc. y Hum.
Idiomas,Ciencias Soc. y Hum.
Investigación Operativa,Ciencias Soc. y Hum.
Lingüística y Literatura,Ciencias Soc. y Hum.
Mantenimiento Y Restauración De Obras Públicas,Ciencias Soc. y Hum.
Marketing,Ciencias Soc. y Hum.
Otras Carreras de Educación,Ciencias Soc. y Hum.
Periodismo y Locución,Ciencias Soc. y Hum.
Psicología,Ciencias Soc. y Hum.
Secretariado,Ciencias Soc. y Hum.
Servicio De Transporte,Ciencias Soc. y Hum.
Servicios Sociales y Asistenciales ,Ciencias Soc. y Hum.
Teología y Filosofía,Ciencias Soc. y Hum.
Trabajo Social,Ciencias Soc. y Hum.
Tratamiento De Belleza Y Peluquería,Ciencias Soc. y Hum.
Turismo,Ciencias Soc. y Hum.
Agropecuaria,Ciencia
Biología,Ciencia
Ciencias Forestales,Ciencia
Ecología y Medio Ambiente,Ciencia
Enfermería,Ciencia
Estadística,Ciencia
Farmacia y Bioquímica,Ciencia
Física,Ciencia
Geología,Ciencia
Matemática,Ciencia
Medicina,Medicina
Nutrición,Ciencia
Obstetricia,Ciencia
Odontología,Ciencia
Química,Ciencia
Tecnología Médica,Ciencia
Veterinaria,Ciencia
Zootecnia,Ciencia
Otras Carreras De Ciencias De La Salud,Ciencia
Artes,Ciencias Soc. y Hum.
Danza,Ciencias Soc. y Hum.
Diseño,Ciencias Soc. y Hum.
Música,Ciencias Soc. y Hum.
Teatro,Ciencias Soc. y Hum.
Administración Pública,Admin. y Econ.
Administración de Empresas ,Admin. y Econ.
"Administración de Servicios Turísticos, Hotelería y Gastronomía",Admin. y Econ.
Agronegocios  ,Admin. y Econ.
Economía,Admin. y Econ.
Negocios Internacionales,Admin. y Econ.
Otras Carreras de Administración,Admin. y Econ.
